NAME                                                                          VERSION                                              TYPE         
github.com/dlclark/regexp2                                                    v1.4.0                                               go-module     
github.com/docker/buildx                                                      ed00243a0ce2a0aee75311b06e32d33b44729689             go-module     
github.com/docker/cli                                                         v20.10.3-0.20220803220330-418ca3b4d46f+incompatible  go-module     
github.com/docker/cli-docs-tool                                               v0.5.0                                               go-module     
github.com/docker/distribution                                                v2.8.1+incompatible                                  go-module     
github.com/docker/docker                                                      v20.10.3-0.20220720171342-a60b458179aa+incompatible  go-module     
github.com/docker/docker-credential-helpers                                   v0.6.4                                               go-module     
github.com/docker/go                                                          v1.5.1-1.0.20160303222718-d30aec9fd63c               go-module     
github.com/docker/go-connections                                              v0.4.0                                               go-module     
github.com/docker/go-events                                                   v0.0.0-20190806004212-e31b211e4f1c                   go-module     
github.com/docker/go-metrics                                                  v0.0.1                                               go-module     
github.com/docker/go-units                                                    v0.4.0                                               go-module     
github.com/dpotapov/go-spnego                                                 v0.0.0-20210315154721-298b63a54430                   go-module     
github.com/emicklei/go-restful                                                v2.9.5+incompatible                                  go-module     
github.com/fatih/color                                                        v1.7.0                                               go-module     
github.com/felixge/httpsnoop                                                  v1.0.2                                               go-module     
github.com/fsnotify/fsnotify                                                  v1.4.9                                               go-module     
github.com/fvbommel/sortorder                                                 v1.0.1                                               go-module     
github.com/gabriel-vasile/mimetype                                            v1.4.1                                               go-module     
github.com/gdamore/encoding                                                   v1.0.0                                               go-module     
github.com/gdamore/tcell/v2                                                   v2.5.4                                               go-module     
github.com/git-lfs/git-lfs/v3                                                 (devel)                                              go-module     
github.com/git-lfs/gitobj/v2                                                  v2.1.0                                               go-module     
github.com/git-lfs/go-netrc                                                   v0.0.0-20210914205454-f0c862dd687a                   go-module     
github.com/git-lfs/pktline                                                    v0.0.0-20210330133718-06e9096e2825                   go-module     
github.com/git-lfs/wildmatch/v2                                               v2.0.1                                               go-module     
github.com/go-logr/logr                                                       v1.2.2                                               go-module     
github.com/go-logr/stdr                                                       v1.2.2                                               go-module     
github.com/godbus/dbus/v5                                                     v5.0.6                                               go-module     
github.com/gofrs/flock                                                        v0.7.3                                               go-module     
github.com/gogo/googleapis                                                    v1.3.2                                               go-module     
github.com/gogo/googleapis                                                    v1.4.1                                               go-module     
github.com/gogo/protobuf                                                      v1.3.2                                               go-module     
github.com/golang-jwt/jwt/v4                                                  v4.2.0                                               go-module     
github.com/golang/protobuf                                                    v1.5.2                                               go-module     
github.com/google/go-cmp                                                      v0.5.6                                               go-module     
github.com/google/go-cmp                                                      v0.5.8                                               go-module     
github.com/google/gofuzz                                                      v1.2.0                                               go-module     
github.com/google/shlex                                                       v0.0.0-20191202100458-e7afc7fbc510                   go-module     
github.com/google/uuid                                                        v1.2.0                                               go-module     
github.com/google/uuid                                                        v1.3.0                                               go-module     
github.com/googleapis/gnostic                                                 v0.5.5                                               go-module     
github.com/gorilla/css                                                        v1.0.0                                               go-module     
github.com/gorilla/mux                                                        v1.8.0                                               go-module     
github.com/gorilla/websocket                                                  v1.4.2                                               go-module     
github.com/grpc-ecosystem/go-grpc-middleware                                  v1.3.0                                               go-module     
github.com/grpc-ecosystem/go-grpc-prometheus                                  v1.2.0                                               go-module     
github.com/grpc-ecosystem/grpc-gateway                                        v1.16.0                                              go-module     
github.com/hashicorp/errwrap                                                  v1.0.0                                               go-module     
github.com/hashicorp/errwrap                                                  v1.1.0                                               go-module     
github.com/hashicorp/go-cty-funcs                                             v0.0.0-20200930094925-2721b1e36840                   go-module     
github.com/hashicorp/go-multierror                                            v1.1.1                                               go-module     
github.com/hashicorp/go-uuid                                                  v1.0.2                                               go-module     
github.com/hashicorp/go-version                                               v1.3.0                                               go-module     
github.com/hashicorp/hcl/v2                                                   v2.8.2                                               go-module     
github.com/henvic/httpretty                                                   v0.0.6                                               go-module     
github.com/imdario/mergo                                                      v0.3.12                                              go-module     
github.com/imdario/mergo                                                      v0.3.13                                              go-module     
github.com/intel/goresctrl                                                    v0.2.0                                               go-module     
github.com/itchyny/gojq                                                       v0.12.8                                              go-module     
github.com/itchyny/timefmt-go                                                 v0.1.3                                               go-module     
github.com/jcmturner/aescts/v2                                                v2.0.0                                               go-module     
github.com/jcmturner/dnsutils/v2                                              v2.0.0                                               go-module     
github.com/jcmturner/gofork                                                   v1.0.0                                               go-module     
github.com/jcmturner/goidentity/v6                                            v6.0.1                                               go-module     
github.com/jcmturner/gokrb5/v8                                                v8.4.2                                               go-module     
github.com/jcmturner/rpc/v2                                                   v2.0.3                                               go-module     
github.com/joho/godotenv                                                      v1.4.0                                               go-module     
github.com/json-iterator/go                                                   v1.1.12                                              go-module     
github.com/kballard/go-shellquote                                             v0.0.0-20180428030007-95032a82bc51                   go-module     
github.com/klauspost/compress                                                 v1.11.13                                             go-module     
github.com/klauspost/compress                                                 v1.15.7                                              go-module     
github.com/leonelquinteros/gotext                                             v1.5.0                                               go-module     
github.com/lucasb-eyer/go-colorful                                            v1.2.0                                               go-module     
github.com/mattn/go-colorable                                                 v0.1.13                                              go-module     
github.com/mattn/go-isatty                                                    v0.0.17                                              go-module     
github.com/mattn/go-isatty                                                    v0.0.4                                               go-module     
github.com/mattn/go-runewidth                                                 v0.0.14                                              go-module     
github.com/mattn/go-shellwords                                                v1.0.12                                              go-module     
github.com/matttproud/golang_protobuf_extensions                              v1.0.2-0.20181231171920-c182affec369                 go-module     
github.com/matttproud/golang_protobuf_extensions                              v1.0.4                                               go-module     
github.com/mgutz/ansi                                                         v0.0.0-20200706080929-d51e80ef957d                   go-module     
github.com/microcosm-cc/bluemonday                                            v1.0.20                                              go-module     
github.com/miekg/pkcs11                                                       v1.1.1                                               go-module     
github.com/mistifyio/go-zfs                                                   v2.1.2-0.20190413222219-f784269be439+incompatible    go-module     
github.com/mitchellh/go-wordwrap                                              v0.0.0-20150314170334-ad45545899c7                   go-module     
github.com/mitchellh/mapstructure                                             v1.5.0                                               go-module     
github.com/moby/buildkit                                                      v0.10.1-0.20220816171719-55ba9d14360a                go-module     
github.com/moby/locker                                                        v1.0.1                                               go-module     
github.com/moby/spdystream                                                    v0.2.0                                               go-module     
github.com/moby/sys/mountinfo                                                 v0.5.0                                               go-module     
github.com/moby/sys/signal                                                    v0.6.0                                               go-module     
github.com/moby/sys/symlink                                                   v0.2.0                                               go-module     
github.com/moby/term                                                          v0.0.0-20210619224110-3f7ff695adc6                   go-module     
github.com/modern-go/concurrent                                               v0.0.0-20180306012644-bacd9c7ef1dd                   go-module     
github.com/modern-go/reflect2                                                 v1.0.2                                               go-module     
github.com/morikuni/aec                                                       v1.0.0                                               go-module     
github.com/mrunalp/fileutils                                                  v0.5.0                                               go-module     
github.com/muesli/reflow                                                      v0.3.0                                               go-module     
github.com/muesli/termenv                                                     v0.12.0                                              go-module     
github.com/muhammadmuzzammil1998/jsonc                                        v0.0.0-20201229145248-615b0916ca38                   go-module     
github.com/olekukonko/tablewriter                                             v0.0.5                                               go-module     
github.com/olekukonko/ts                                                      v0.0.0-20171002115256-78ecb04241c0                   go-module     
github.com/opencontainers/go-digest                                           v1.0.0                                               go-module     
github.com/opencontainers/image-spec                                          v1.0.3-0.20211202183452-c5a74bcca799                 go-module     
github.com/opencontainers/runc                                                5fd4c4d144137e991c4acebb2146ab1483a97925             go-module     
github.com/opencontainers/runc                                                v1.1.2                                               go-module     
github.com/opencontainers/runc                                                v1.1.3                                               go-module     
github.com/opencontainers/runtime-spec                                        v1.0.3-0.20210326190908-1c3f411f0417                 go-module     
github.com/opencontainers/selinux                                             v1.10.0                                              go-module     
github.com/opencontainers/selinux                                             v1.10.1                                              go-module     
github.com/opentracing/opentracing-go                                         v1.1.0                                               go-module     
github.com/pelletier/go-toml                                                  v1.9.3                                               go-module     
github.com/pelletier/go-toml                                                  v1.9.4                                               go-module     
github.com/pkg/errors                                                         v0.0.0-20170505043639-c605e284fe17                   go-module     
github.com/pkg/errors                                                         v0.9.1                                               go-module     
github.com/pmezard/go-difflib                                                 v1.0.0                                               go-module     
github.com/prometheus/client_golang                                           v1.11.1                                              go-module     
github.com/prometheus/client_golang                                           v1.12.2                                              go-module     
github.com/prometheus/client_model                                            v0.2.0                                               go-module     
github.com/prometheus/common                                                  v0.30.0                                              go-module     
github.com/prometheus/common                                                  v0.32.1                                              go-module     
github.com/prometheus/procfs                                                  v0.7.3                                               go-module     
github.com/rivo/tview                                                         v0.0.0-20221029100920-c4a7e501810d                   go-module     
github.com/rivo/uniseg                                                        v0.4.2                                               go-module     
github.com/rubyist/tracerx                                                    v0.0.0-20170927163412-787959303086                   go-module     
github.com/russross/blackfriday/v2                                            v2.0.1                                               go-module     
github.com/seccomp/libseccomp-golang                                          v0.9.2-0.20220502022130-f33da4d89646                 go-module     
github.com/serialx/hashring                                                   v0.0.0-20190422032157-8b2912629002                   go-module     
github.com/shurcooL/githubv4                                                  v0.0.0-20220520033151-0b4e3294ff00                   go-module     
github.com/shurcooL/graphql                                                   v0.0.0-20220606043923-3cf50f8a0a29                   go-module     
github.com/shurcooL/sanitized_anchor_name                                     v1.0.0                                               go-module     
github.com/sirupsen/logrus                                                    v1.8.1                                               go-module     
github.com/sirupsen/logrus                                                    v1.9.0                                               go-module     
github.com/sourcegraph/jsonrpc2                                               v0.1.0                                               go-module     
github.com/spf13/cobra                                                        v0.0.3                                               go-module     
github.com/spf13/cobra                                                        v1.5.0                                               go-module     
github.com/spf13/cobra                                                        v1.6.1                                               go-module     
github.com/spf13/pflag                                                        v1.0.3                                               go-module     
github.com/spf13/pflag                                                        v1.0.5                                               go-module     
github.com/ssgelm/cookiejarparser                                             v1.0.1                                               go-module     
github.com/stefanberger/go-pkcs11uri                                          v0.0.0-20201008174630-78d3cae3a980                   go-module     
github.com/stretchr/objx                                                      v0.4.0                                               go-module     
github.com/stretchr/testify                                                   v1.7.5                                               go-module     
github.com/syndtr/gocapability                                                v0.0.0-20200815063812-42c35b437635                   go-module     
github.com/tchap/go-patricia                                                  v2.2.6+incompatible                                  go-module     
github.com/theupdateframework/notary                                          v0.6.1                                               go-module     
github.com/thlib/go-timezone-local                                            v0.0.0-20210907160436-ef149e42d28e                   go-module     
github.com/tonistiigi/fsutil                                                  v0.0.0-20220510150904-0dbf3a8a7d58                   go-module     
github.com/tonistiigi/units                                                   v0.0.0-20180711220420-6950e57a87ea                   go-module     
github.com/tonistiigi/vt100                                                   v0.0.0-20210615222946-8066bb97264f                   go-module     
github.com/urfave/cli                                                         v1.22.1                                              go-module     
github.com/vishvananda/netlink                                                v1.1.0                                               go-module     
github.com/vishvananda/netlink                                                v1.1.1-0.20210330154013-f5de75959ad5                 go-module     
github.com/vishvananda/netns                                                  v0.0.0-20191106174202-0a2b9b5464df                   go-module     
github.com/vishvananda/netns                                                  v0.0.0-20210104183010-2eb08e3e575f                   go-module     
github.com/xeipuuv/gojsonpointer                                              v0.0.0-20180127040702-4e3ac2762d5f                   go-module     
github.com/xeipuuv/gojsonreference                                            v0.0.0-20180127040603-bd5ef7bd5415                   go-module     
github.com/xeipuuv/gojsonschema                                               v1.2.0                                               go-module     
github.com/yuin/goldmark                                                      v1.4.13                                              go-module     
github.com/yuin/goldmark-emoji                                                v1.0.1                                               go-module     
github.com/zclconf/go-cty                                                     v1.10.0                                              go-module     
glib-networking                                                               2.72.0-1                                             deb           
glib-networking-common                                                        2.72.0-1                                             deb           
glib-networking-services                                                      2.72.0-1                                             deb           
glob                                                                          7.1.6                                                npm           
glob                                                                          7.2.0                                                npm           
global-dirs                                                                   0.1.1                                                npm           
gnupg                                                                         2.2.27-3ubuntu2.1                                    deb           
gnupg-l10n                                                                    2.2.27-3ubuntu2.1                                    deb           
gnupg-utils                                                                   2.2.27-3ubuntu2.1                                    deb           
go.etcd.io/bbolt                                                              v1.3.6                                               go-module     
go.mozilla.org/pkcs7                                                          v0.0.0-20200128120323-432b2356ecb1                   go-module     
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc   v0.28.0                                              go-module     
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc   v0.29.0                                              go-module     
go.opentelemetry.io/contrib/instrumentation/net/http/httptrace/otelhttptrace  v0.29.0                                              go-module     
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp                 v0.29.0                                              go-module     
go.opentelemetry.io/otel                                                      v1.3.0                                               go-module     
go.opentelemetry.io/otel                                                      v1.4.1                                               go-module     
go.opentelemetry.io/otel/exporters/otlp/internal/retry                        v1.3.0                                               go-module     
go.opentelemetry.io/otel/exporters/otlp/internal/retry                        v1.4.1                                               go-module     
go.opentelemetry.io/otel/exporters/otlp/otlptrace                             v1.3.0                                               go-module     
go.opentelemetry.io/otel/exporters/otlp/otlptrace                             v1.4.1                                               go-module     
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc               v1.3.0                                               go-module     
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc               v1.4.1                                               go-module     
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp               v1.3.0                                               go-module     
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp               v1.4.1                                               go-module     
go.opentelemetry.io/otel/internal/metric                                      v0.27.0                                              go-module     
go.opentelemetry.io/otel/metric                                               v0.27.0                                              go-module     
go.opentelemetry.io/otel/sdk                                                  v1.3.0                                               go-module     
go.opentelemetry.io/otel/sdk                                                  v1.4.1                                               go-module     
go.opentelemetry.io/otel/trace                                                v1.3.0                                               go-module     
go.opentelemetry.io/otel/trace                                                v1.4.1                                               go-module     
go.opentelemetry.io/proto/otlp                                                v0.11.0                                              go-module     
go.opentelemetry.io/proto/otlp                                                v0.12.0                                              go-module     
golang-github-containers-common                                               0.44.4+ds1-1                                         deb           
golang-github-containers-image                                                5.16.0-3                                             deb           
golang.org/x/crypto                                                           v0.0.0-20220315160706-3147a52a75dd                   go-module     
golang.org/x/crypto                                                           v0.0.0-20220411220226-7b82a4e95df4                   go-module     
golang.org/x/net                                                              v0.0.0-20201224014010-6772e930b67b                   go-module     
golang.org/x/net                                                              v0.0.0-20211112202133-69e39bad7dc2                   go-module     
golang.org/x/net                                                              v0.0.0-20220127200216-cd36cc0744dd                   go-module     
golang.org/x/net                                                              v0.0.0-20220722155237-a158d28d115b                   go-module     
golang.org/x/net                                                              v0.0.0-20220923203811-8be639271d50                   go-module     
golang.org/x/oauth2                                                           v0.0.0-20210819190943-2bc19b11175f                   go-module     
golang.org/x/sync                                                             v0.0.0-20210220032951-036812b2e83c                   go-module     
golang.org/x/sync                                                             v0.0.0-20220722155255-886fb9371eb4                   go-module     
golang.org/x/sync                                                             v0.1.0                                               go-module     
golang.org/x/sys                                                              v0.0.0-20210615035016-665e8c7367d1                   go-module     
golang.org/x/sys                                                              v0.0.0-20211116061358-0a5406a5449c                   go-module     
golang.org/x/sys                                                              v0.0.0-20220715151400-c0bba94af5f8                   go-module     
golang.org/x/sys                                                              v0.0.0-20220722155257-8c9f86f7a55f                   go-module     
golang.org/x/sys                                                              v0.0.0-20220811171246-fbc7d0a398ab                   go-module     
golang.org/x/term                                                             v0.0.0-20210927222741-03fcf44c2211                   go-module     
golang.org/x/text                                                             v0.3.7                                               go-module     
golang.org/x/text                                                             v0.5.0                                               go-module     
golang.org/x/time                                                             v0.0.0-20210723032227-1f47c861a9ac                   go-module     
golang.org/x/time                                                             v0.0.0-20220210224613-90d013bbcef8                   go-module     
google.golang.org/genproto                                                    v0.0.0-20200224152610-e50cd9704f63                   go-module     
google.golang.org/genproto                                                    v0.0.0-20200825200019-8632dd797987                   go-module     
google.golang.org/genproto                                                    v0.0.0-20220310185008-1973136f34c6                   go-module     
google.golang.org/grpc                                                        v1.47.0                                              go-module     
google.golang.org/grpc                                                        v1.49.0                                              go-module     
google.golang.org/protobuf                                                    v1.27.1                                              go-module     
google.golang.org/protobuf                                                    v1.28.0                                              go-module     
gopkg.in/inf.v0                                                               v0.9.1                                               go-module     
gopkg.in/square/go-jose.v2                                                    v2.5.1                                               go-module     
gopkg.in/yaml.v2                                                              v2.4.0                                               go-module     
gopkg.in/yaml.v3                                                              v3.0.1                                               go-module     
gosu                                                                          1.14-1                                               deb           
got                                                                           6.7.1                                                npm           
gpg                                                                           2.2.27-3ubuntu2.1                                    deb           
gpg-agent                                                                     2.2.27-3ubuntu2.1                                    deb           
gpg-wks-client                                                                2.2.27-3ubuntu2.1                                    deb           
gpg-wks-server                                                                2.2.27-3ubuntu2.1                                    deb           
gpgconf                                                                       2.2.27-3ubuntu2.1                                    deb           
gpgsm                                                                         2.2.27-3ubuntu2.1                                    deb           
gpgv                                                                          2.2.27-3ubuntu2.1                                    deb           
graceful-fs                                                                   4.2.4                                                npm           
graceful-fs                                                                   4.2.8                                                npm           
grep                                                                          3.7-1build1                                          deb           
gsettings-desktop-schemas                                                     42.0-1ubuntu1                                        deb           
gzip                                                                          1.10-4ubuntu4.1                                      deb           
har-schema                                                                    2.0.0                                                npm           
har-validator                                                                 5.1.5                                                npm           
has                                                                           1.0.3                                                npm           
has-flag                                                                      3.0.0                                                npm           
has-flag                                                                      4.0.0                                                npm           
has-symbols                                                                   1.0.0                                                npm           
has-unicode                                                                   2.0.1                                                npm           
hosted-git-info                                                               2.8.9                                                npm           
hosted-git-info                                                               4.0.2                                                npm           
hostname                                                                      3.23ubuntu2                                          deb           
html5lib                                                                      1.1                                                  python        
http-cache-semantics                                                          3.8.1                                                npm           
http-cache-semantics                                                          4.1.0                                                npm           
http-proxy-agent                                                              2.1.0                                                npm           
http-proxy-agent                                                              4.0.1                                                npm           
http-signature                                                                1.2.0                                                npm           
httplib2                                                                      0.20.2                                               python        
https-proxy-agent                                                             2.2.4                                                npm           
https-proxy-agent                                                             5.0.0                                                npm           
humanize-ms                                                                   1.2.1                                                npm           
iconv-lite                                                                    0.4.23                                               npm           
iconv-lite                                                                    0.6.3                                                npm           
idna                                                                          3.4                                                  python        
iferr                                                                         0.1.5                                                npm           
iferr                                                                         1.0.2                                                npm           
ignore-walk                                                                   3.0.3                                                npm           
ignore-walk                                                                   4.0.1                                                npm           
import-lazy                                                                   2.1.0                                                npm           
importlib-metadata                                                            4.6.4                                                python        
importlib-metadata                                                            6.0.0                                                python        
imurmurhash                                                                   0.1.4                                                npm           
indent-string                                                                 4.0.0                                                npm           
inetutils-ping                                                                2:2.2-2                                              deb           
infer-owner                                                                   1.0.4                                                npm           
inflight                                                                      1.0.6                                                npm           
inherits                                                                      2.0.4                                                npm           
ini                                                                           1.3.8                                                npm           
ini                                                                           2.0.0                                                npm           
init-package-json                                                             1.10.3                                               npm           
init-package-json                                                             2.0.5                                                npm           
init-system-helpers                                                           1.62                                                 deb           
ip                                                                            1.1.5                                                npm           
ip-regex                                                                      2.1.0                                                npm           
ip-regex                                                                      4.3.0                                                npm           
iptables                                                                      1.8.7-1ubuntu5                                       deb           
is-callable                                                                   1.1.4                                                npm           
is-ci                                                                         1.2.1                                                npm           
is-cidr                                                                       3.0.0                                                npm           
is-cidr                                                                       4.0.2                                                npm           
is-core-module                                                                2.7.0                                                npm           
is-date-object                                                                1.0.1                                                npm           
is-fullwidth-code-point                                                       1.0.0                                                npm           
is-fullwidth-code-point                                                       2.0.0                                                npm           
is-fullwidth-code-point                                                       3.0.0                                                npm           
is-installed-globally                                                         0.1.0                                                npm           
is-lambda                                                                     1.0.1                                                npm           
is-npm                                                                        1.0.0                                                npm           
is-obj                                                                        1.0.1                                                npm           
is-path-inside                                                                1.0.1                                                npm           
is-redirect                                                                   1.0.0                                                npm           
is-regex                                                                      1.0.4                                                npm           
is-retry-allowed                                                              1.2.0                                                npm           
is-stream                                                                     1.1.0                                                npm           
is-symbol                                                                     1.0.2                                                npm           
is-typedarray                                                                 1.0.0                                                npm           
isarray                                                                       0.0.1                                                npm           
