NAME                                                                          VERSION                                              TYPE         
cpp                                                                           4:11.2.0-1ubuntu1                                    deb           
cpp-11                                                                        11.3.0-1ubuntu1~22.04                                deb           
crashtest                                                                     0.4.1                                                python        
create-error-class                                                            3.0.2                                                npm           
cross-spawn                                                                   5.1.0                                                npm           
crun                                                                          0.17+dfsg-1.1                                        deb           
crypto-random-string                                                          1.0.0                                                npm           
cryptography                                                                  3.3.2                                                python        
cryptography                                                                  3.4.8                                                python        
cryptography                                                                  39.0.0                                               python        
curl                                                                          7.81.0-1ubuntu1.7                                    deb           
cyclist                                                                       0.2.2                                                npm           
dash                                                                          0.5.11+git20210903+057cd650a4ed-3build1              deb           
dashdash                                                                      1.14.1                                               npm           
dbus                                                                          1.12.20-2ubuntu4.1                                   deb           
dbus-python                                                                   1.2.18                                               python        
dbus-user-session                                                             1.12.20-2ubuntu4.1                                   deb           
dconf-gsettings-backend                                                       0.40.0-3                                             deb           
dconf-service                                                                 0.40.0-3                                             deb           
debconf                                                                       1.5.79ubuntu1                                        deb           
debianutils                                                                   5.5-1ubuntu2                                         deb           
debug                                                                         3.1.0                                                npm           
debug                                                                         4.3.2                                                npm           
debuglog                                                                      1.0.1                                                npm           
decamelize                                                                    1.2.0                                                npm           
decode-uri-component                                                          0.2.0                                                npm           
deep-extend                                                                   0.6.0                                                npm           
defaults                                                                      1.0.3                                                npm           
define-properties                                                             1.1.3                                                npm           
delayed-stream                                                                1.0.0                                                npm           
delegates                                                                     1.0.0                                                npm           
depd                                                                          1.1.2                                                npm           
detect-indent                                                                 5.0.0                                                npm           
detect-newline                                                                2.1.0                                                npm           
dezalgo                                                                       1.0.3                                                npm           
diff                                                                          5.0.0                                                npm           
diffutils                                                                     1:3.8-0ubuntu2                                       deb           
dirmngr                                                                       2.2.27-3ubuntu2.1                                    deb           
distlib                                                                       0.3.6                                                python        
distro                                                                        1.7.0                                                python        
distro-info-data                                                              0.52ubuntu0.2                                        deb           
docker-ce                                                                     5:20.10.22~3-0~ubuntu-jammy                          deb           
